03-27 19:29:18.894: W/ActivityThread(281): Application edu.lynchburg.taskbomb is waiting for the debugger on port 8100...
03-27 19:29:18.924: I/System.out(281): Sending WAIT chunk
03-27 19:29:18.934: I/dalvikvm(281): Debugger is active
03-27 19:29:19.124: I/System.out(281): Debugger has connected
03-27 19:29:19.124: I/System.out(281): waiting for debugger to settle...
03-27 19:29:19.324: I/System.out(281): waiting for debugger to settle...
03-27 19:29:19.524: I/System.out(281): waiting for debugger to settle...
03-27 19:29:19.768: I/System.out(281): waiting for debugger to settle...
03-27 19:29:20.030: I/System.out(281): waiting for debugger to settle...
03-27 19:29:20.224: I/System.out(281): waiting for debugger to settle...
03-27 19:29:20.424: I/System.out(281): waiting for debugger to settle...
03-27 19:29:20.654: I/System.out(281): debugger has settled (1421)
03-27 19:29:20.924: I/MainActivity(281): Instance number: 0
03-27 19:29:21.104: I/MainActivity(281): Instance number: 1
03-27 19:29:21.264: I/MainActivity(281): Instance number: 2
03-27 19:29:21.424: I/MainActivity(281): Instance number: 3
03-27 19:29:21.594: I/MainActivity(281): Instance number: 4
03-27 19:29:21.754: I/MainActivity(281): Instance number: 5
03-27 19:29:21.914: I/MainActivity(281): Instance number: 6
03-27 19:29:22.074: I/MainActivity(281): Instance number: 7
03-27 19:29:22.234: I/MainActivity(281): Instance number: 8
03-27 19:29:22.384: I/MainActivity(281): Instance number: 9
03-27 19:29:22.554: I/MainActivity(281): Instance number: 10
03-27 19:29:22.714: I/MainActivity(281): Instance number: 11
03-27 19:29:22.884: I/MainActivity(281): Instance number: 12
03-27 19:29:23.044: I/MainActivity(281): Instance number: 13
03-27 19:29:23.204: I/MainActivity(281): Instance number: 14
03-27 19:29:23.364: I/MainActivity(281): Instance number: 15
03-27 19:29:23.554: I/MainActivity(281): Instance number: 16
03-27 19:29:23.854: I/MainActivity(281): Instance number: 17
03-27 19:29:24.034: I/MainActivity(281): Instance number: 18
03-27 19:29:24.214: I/MainActivity(281): Instance number: 19
03-27 19:29:24.374: I/MainActivity(281): Instance number: 20
03-27 19:29:24.534: I/MainActivity(281): Instance number: 21
03-27 19:29:24.694: I/MainActivity(281): Instance number: 22
03-27 19:29:24.854: I/MainActivity(281): Instance number: 23
03-27 19:29:25.054: D/dalvikvm(281): GC_FOR_MALLOC freed 2026 objects / 148728 bytes in 56ms
03-27 19:29:25.104: I/MainActivity(281): Instance number: 24
03-27 19:29:25.264: I/MainActivity(281): Instance number: 25
03-27 19:29:25.424: I/MainActivity(281): Instance number: 26
03-27 19:29:25.584: I/MainActivity(281): Instance number: 27
03-27 19:29:25.754: I/MainActivity(281): Instance number: 28
03-27 19:29:25.914: I/MainActivity(281): Instance number: 29
03-27 19:29:26.074: I/MainActivity(281): Instance number: 30
03-27 19:29:26.244: I/MainActivity(281): Instance number: 31
03-27 19:29:26.404: I/MainActivity(281): Instance number: 32
03-27 19:29:26.574: I/MainActivity(281): Instance number: 33
03-27 19:29:26.734: I/MainActivity(281): Instance number: 34
03-27 19:29:26.894: I/MainActivity(281): Instance number: 35
03-27 19:29:27.054: I/MainActivity(281): Instance number: 36
03-27 19:29:27.214: I/MainActivity(281): Instance number: 37
03-27 19:29:27.384: I/MainActivity(281): Instance number: 38
03-27 19:29:27.554: I/MainActivity(281): Instance number: 39
03-27 19:29:27.724: I/MainActivity(281): Instance number: 40
03-27 19:29:27.894: I/MainActivity(281): Instance number: 41
03-27 19:29:28.054: I/MainActivity(281): Instance number: 42
03-27 19:29:28.215: I/MainActivity(281): Instance number: 43
03-27 19:29:28.385: I/MainActivity(281): Instance number: 44
03-27 19:29:28.434: D/dalvikvm(281): GREF has increased to 201
03-27 19:29:28.555: I/MainActivity(281): Instance number: 45
03-27 19:29:28.725: I/MainActivity(281): Instance number: 46
03-27 19:29:28.895: I/MainActivity(281): Instance number: 47
03-27 19:29:29.074: I/MainActivity(281): Instance number: 48
03-27 19:29:29.254: I/MainActivity(281): Instance number: 49
03-27 19:29:29.474: I/MainActivity(281): Instance number: 50
03-27 19:29:29.644: I/MainActivity(281): Instance number: 51
03-27 19:29:29.804: I/MainActivity(281): Instance number: 52
03-27 19:29:29.974: I/MainActivity(281): Instance number: 53
03-27 19:29:30.144: I/MainActivity(281): Instance number: 54
03-27 19:29:30.244: D/dalvikvm(281): GC_FOR_MALLOC freed 1842 objects / 142496 bytes in 56ms
03-27 19:29:30.375: I/MainActivity(281): Instance number: 55
03-27 19:29:30.534: I/MainActivity(281): Instance number: 56
03-27 19:29:30.704: I/MainActivity(281): Instance number: 57
03-27 19:29:30.874: I/MainActivity(281): Instance number: 58
03-27 19:29:31.044: I/MainActivity(281): Instance number: 59
03-27 19:29:31.214: I/MainActivity(281): Instance number: 60
03-27 19:29:31.395: I/MainActivity(281): Instance number: 61
03-27 19:29:31.565: I/MainActivity(281): Instance number: 62
03-27 19:29:31.744: I/MainActivity(281): Instance number: 63
03-27 19:29:32.044: I/MainActivity(281): Instance number: 64
03-27 19:29:32.224: I/MainActivity(281): Instance number: 65
03-27 19:29:32.394: I/MainActivity(281): Instance number: 66
03-27 19:29:32.575: I/MainActivity(281): Instance number: 67
03-27 19:29:32.745: I/MainActivity(281): Instance number: 68
03-27 19:29:32.915: I/MainActivity(281): Instance number: 69
03-27 19:29:33.065: I/MainActivity(281): Instance number: 70
03-27 19:29:33.275: I/MainActivity(281): Instance number: 71
03-27 19:29:33.465: I/MainActivity(281): Instance number: 72
03-27 19:29:33.645: I/MainActivity(281): Instance number: 73
03-27 19:29:33.815: I/MainActivity(281): Instance number: 74
03-27 19:29:33.985: I/MainActivity(281): Instance number: 75
03-27 19:29:34.185: I/MainActivity(281): Instance number: 76
03-27 19:29:34.364: I/MainActivity(281): Instance number: 77
03-27 19:29:34.535: I/MainActivity(281): Instance number: 78
03-27 19:29:34.735: I/MainActivity(281): Instance number: 79
03-27 19:29:34.935: I/MainActivity(281): Instance number: 80
03-27 19:29:35.105: I/MainActivity(281): Instance number: 81
03-27 19:29:35.305: D/dalvikvm(281): GC_FOR_MALLOC freed 1530 objects / 128944 bytes in 60ms
03-27 19:29:35.375: I/MainActivity(281): Instance number: 82
03-27 19:29:35.555: I/MainActivity(281): Instance number: 83
03-27 19:29:35.725: I/MainActivity(281): Instance number: 84
03-27 19:29:35.905: I/MainActivity(281): Instance number: 85
03-27 19:29:36.085: I/MainActivity(281): Instance number: 86
03-27 19:29:36.265: I/MainActivity(281): Instance number: 87
03-27 19:29:36.445: I/MainActivity(281): Instance number: 88
03-27 19:29:36.584: I/MainActivity(281): Instance number: 89
03-27 19:29:36.805: I/MainActivity(281): Instance number: 90
03-27 19:29:37.005: I/MainActivity(281): Instance number: 91
03-27 19:29:37.195: I/MainActivity(281): Instance number: 92
03-27 19:29:37.375: I/MainActivity(281): Instance number: 93
03-27 19:29:37.545: I/MainActivity(281): Instance number: 94
03-27 19:29:37.595: D/dalvikvm(281): GREF has increased to 301
03-27 19:29:37.725: I/MainActivity(281): Instance number: 95
03-27 19:29:37.915: I/MainActivity(281): Instance number: 96
03-27 19:29:38.085: I/MainActivity(281): Instance number: 97
03-27 19:29:38.235: I/MainActivity(281): Instance number: 98
03-27 19:29:38.455: I/MainActivity(281): Instance number: 99
03-27 19:29:38.645: I/MainActivity(281): Instance number: 100
03-27 19:29:38.835: I/MainActivity(281): Instance number: 101
03-27 19:29:39.015: I/MainActivity(281): Instance number: 102
03-27 19:29:39.235: I/MainActivity(281): Instance number: 103
03-27 19:29:39.414: I/MainActivity(281): Instance number: 104
03-27 19:29:39.594: I/MainActivity(281): Instance number: 105
03-27 19:29:39.774: I/MainActivity(281): Instance number: 106
03-27 19:29:39.954: I/MainActivity(281): Instance number: 107
03-27 19:29:40.174: I/MainActivity(281): Instance number: 108
03-27 19:29:40.374: I/MainActivity(281): Instance number: 109
03-27 19:29:40.554: I/MainActivity(281): Instance number: 110
03-27 19:29:40.734: I/MainActivity(281): Instance number: 111
03-27 19:29:40.914: I/MainActivity(281): Instance number: 112
03-27 19:29:41.064: I/MainActivity(281): Instance number: 113
03-27 19:29:41.304: I/MainActivity(281): Instance number: 114
03-27 19:29:41.504: D/dalvikvm(281): GC_FOR_MALLOC freed 1811 objects / 167584 bytes in 74ms
03-27 19:29:41.574: I/MainActivity(281): Instance number: 115
03-27 19:29:41.744: I/MainActivity(281): Instance number: 116
03-27 19:29:41.924: I/MainActivity(281): Instance number: 117
03-27 19:29:42.114: I/MainActivity(281): Instance number: 118
03-27 19:29:42.304: I/MainActivity(281): Instance number: 119
03-27 19:29:42.484: I/MainActivity(281): Instance number: 120
03-27 19:29:42.674: I/MainActivity(281): Instance number: 121
03-27 19:29:42.864: I/MainActivity(281): Instance number: 122
03-27 19:29:43.044: I/MainActivity(281): Instance number: 123
03-27 19:29:43.234: I/MainActivity(281): Instance number: 124
03-27 19:29:43.424: I/MainActivity(281): Instance number: 125
03-27 19:29:43.614: I/MainActivity(281): Instance number: 126
03-27 19:29:43.804: I/MainActivity(281): Instance number: 127
03-27 19:29:43.984: I/MainActivity(281): Instance number: 128
03-27 19:29:44.164: I/MainActivity(281): Instance number: 129
03-27 19:29:44.364: I/MainActivity(281): Instance number: 130
03-27 19:29:44.674: I/MainActivity(281): Instance number: 131
03-27 19:29:44.864: I/MainActivity(281): Instance number: 132
03-27 19:29:45.054: I/MainActivity(281): Instance number: 133
03-27 19:29:45.244: I/MainActivity(281): Instance number: 134
03-27 19:29:45.424: I/MainActivity(281): Instance number: 135
03-27 19:29:45.564: I/MainActivity(281): Instance number: 136
03-27 19:29:45.804: I/MainActivity(281): Instance number: 137
03-27 19:29:46.004: I/MainActivity(281): Instance number: 138
03-27 19:29:46.194: I/MainActivity(281): Instance number: 139
03-27 19:29:46.384: I/MainActivity(281): Instance number: 140
03-27 19:29:46.584: I/MainActivity(281): Instance number: 141
03-27 19:29:46.774: I/MainActivity(281): Instance number: 142
03-27 19:29:46.964: I/MainActivity(281): Instance number: 143
03-27 19:29:47.154: I/MainActivity(281): Instance number: 144
03-27 19:29:47.204: D/dalvikvm(281): GREF has increased to 401
03-27 19:29:47.354: I/MainActivity(281): Instance number: 145
03-27 19:29:47.544: I/MainActivity(281): Instance number: 146
03-27 19:29:47.734: I/MainActivity(281): Instance number: 147
03-27 19:29:47.934: I/MainActivity(281): Instance number: 148
03-27 19:29:48.124: I/MainActivity(281): Instance number: 149
03-27 19:29:48.314: I/MainActivity(281): Instance number: 150
03-27 19:29:48.504: I/MainActivity(281): Instance number: 151
03-27 19:29:48.664: I/MainActivity(281): Instance number: 152
03-27 19:29:48.904: I/MainActivity(281): Instance number: 153
03-27 19:29:49.104: I/MainActivity(281): Instance number: 154
03-27 19:29:49.304: I/MainActivity(281): Instance number: 155
03-27 19:29:49.414: D/dalvikvm(281): GC_FOR_MALLOC freed 2290 objects / 224824 bytes in 70ms
03-27 19:29:49.594: I/MainActivity(281): Instance number: 156
03-27 19:29:49.784: I/MainActivity(281): Instance number: 157
03-27 19:29:49.974: I/MainActivity(281): Instance number: 158
03-27 19:29:50.165: I/MainActivity(281): Instance number: 159
03-27 19:29:50.374: I/MainActivity(281): Instance number: 160
03-27 19:29:50.564: I/MainActivity(281): Instance number: 161
03-27 19:29:50.764: I/MainActivity(281): Instance number: 162
03-27 19:29:50.964: I/MainActivity(281): Instance number: 163
03-27 19:29:51.114: I/MainActivity(281): Instance number: 164
03-27 19:29:51.364: I/MainActivity(281): Instance number: 165
03-27 19:29:51.525: I/MainActivity(281): Instance number: 166
03-27 19:29:51.764: I/MainActivity(281): Instance number: 167
03-27 19:29:51.954: I/MainActivity(281): Instance number: 168
03-27 19:29:52.154: I/MainActivity(281): Instance number: 169
03-27 19:29:52.314: I/MainActivity(281): Instance number: 170
03-27 19:29:52.564: I/MainActivity(281): Instance number: 171
03-27 19:29:52.774: I/MainActivity(281): Instance number: 172
03-27 19:29:52.974: I/MainActivity(281): Instance number: 173
03-27 19:29:53.164: I/MainActivity(281): Instance number: 174
03-27 19:29:53.364: I/MainActivity(281): Instance number: 175
03-27 19:29:53.574: I/MainActivity(281): Instance number: 176
03-27 19:29:53.764: I/MainActivity(281): Instance number: 177
03-27 19:29:53.964: I/MainActivity(281): Instance number: 178
03-27 19:29:54.164: I/MainActivity(281): Instance number: 179
03-27 19:29:54.364: I/MainActivity(281): Instance number: 180
03-27 19:29:54.574: I/MainActivity(281): Instance number: 181
03-27 19:29:54.774: I/MainActivity(281): Instance number: 182
03-27 19:29:54.974: I/MainActivity(281): Instance number: 183
03-27 19:29:55.205: I/MainActivity(281): Instance number: 184
03-27 19:29:55.394: I/MainActivity(281): Instance number: 185
03-27 19:29:55.595: I/MainActivity(281): Instance number: 186
03-27 19:29:55.785: I/MainActivity(281): Instance number: 187
03-27 19:29:55.985: I/MainActivity(281): Instance number: 188
03-27 19:29:56.195: I/MainActivity(281): Instance number: 189
03-27 19:29:56.395: I/MainActivity(281): Instance number: 190
03-27 19:29:56.585: I/MainActivity(281): Instance number: 191
03-27 19:29:56.785: I/MainActivity(281): Instance number: 192
03-27 19:29:56.985: I/MainActivity(281): Instance number: 193
03-27 19:29:57.185: I/MainActivity(281): Instance number: 194
03-27 19:29:57.235: D/dalvikvm(281): GREF has increased to 501
03-27 19:29:57.355: I/MainActivity(281): Instance number: 195
03-27 19:29:57.595: I/MainActivity(281): Instance number: 196
03-27 19:29:57.765: I/MainActivity(281): Instance number: 197
03-27 19:29:58.135: I/MainActivity(281): Instance number: 198
03-27 19:29:58.345: I/MainActivity(281): Instance number: 199
03-27 19:29:58.535: I/MainActivity(281): Instance number: 200
03-27 19:29:58.745: I/MainActivity(281): Instance number: 201
03-27 19:29:58.945: I/MainActivity(281): Instance number: 202
03-27 19:29:59.145: I/MainActivity(281): Instance number: 203
03-27 19:29:59.335: D/dalvikvm(281): GC_FOR_MALLOC freed 2750 objects / 296872 bytes in 90ms
03-27 19:29:59.405: I/MainActivity(281): Instance number: 204
03-27 19:29:59.665: I/MainActivity(281): Instance number: 205
03-27 19:29:59.915: I/MainActivity(281): Instance number: 206
